pregame_total,inning,favorite_strength_bucket,mean_favorite_novig_prob,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
8.0,5,50-55%,0.5227995417342518,792,52.65151515151515,70.95959595959596,73.48484848484848,52.14455157636976,0.5069635751453916,0.025300197097634553,0.9924242424242424,52.53333333333333,28.000000000000004,4.7664552267951965
8.0,5,55-60%,0.572632248584316,694,52.88184438040345,72.19020172910663,73.9193083573487,53.3624978199304,-0.4806534395269457,-0.02443180243907809,0.9481268011527377,48.01223241590214,27.522935779816514,4.833559263152316
8.0,5,60-65%,0.6233307875910687,401,53.11720698254364,76.05985037406484,69.57605985037407,52.919447018364316,0.19775996417932262,0.01007301699806925,1.0374064837905237,56.38297872340425,30.319148936170215,5.500276262177621
8.0,5,65-70%,0.6716239238671528,186,54.83870967741935,76.88172043010752,70.96774193548387,54.56122095039889,0.27748872702045846,0.014500572231626268,1.0,60.71428571428571,34.523809523809526,8.530365027538332
8.5,5,50-55%,0.5224312538673268,1052,52.18631178707225,71.10266159695817,73.38403041825094,52.17799881449782,0.00831297257443131,0.0004149660537639386,1.040874524714829,58.8469184890656,29.025844930417495,2.9674029929257832
8.5,5,55-60%,0.574447599467658,915,51.80327868852459,72.56830601092896,71.36612021857923,51.78918450834602,0.014094180178569893,0.0006988015676526617,1.0349726775956285,55.55555555555556,29.705215419501137,5.386158299384465
8.5,5,60-65%,0.6230576499017262,541,52.865064695009245,73.38262476894639,71.53419593345656,52.49367058333133,0.37139411167791403,0.018622466501536945,1.024029574861368,55.294117647058826,28.627450980392155,5.440543386402077
8.5,5,65-70%,0.6705144543337256,258,52.71317829457365,74.8062015503876,68.6046511627907,51.32053362177754,1.3926446727961062,0.06912183495498643,0.9806201550387597,50.0,28.688524590163933,7.166378949731403
9.0,5,50-55%,0.5224164428949932,665,49.774436090225564,71.8796992481203,70.07518796992481,50.36983436033693,-0.5953982701113636,-0.028919888284852424,1.0345864661654136,53.89221556886228,28.143712574850298,5.210244642018867
9.0,5,55-60%,0.57272498458952,583,51.45797598627787,71.69811320754717,72.89879931389366,52.267063659018085,-0.8090876727402163,-0.040409136704691234,1.0034305317324186,53.71024734982333,26.501766784452297,3.3268792829477043
