pregame_total,inning,season,n,mean_runs,p0_under_pct,poisson_zero_residual_pp,nb_zero_residual_pp
8.0,6,2025,379,0.9630606860158312,55.4089709762533,17.236694708562194,1.7694949892960388
8.0,7,2021,363,0.9393939393939394,54.54545454545454,15.458989419823826,2.7785313475108153
8.0,7,2022,443,0.9142212189616253,56.884875846501124,16.802009613205566,3.6701877273273675
8.0,7,2023,372,0.9435483870967742,58.602150537634415,19.677731248711535,3.178436754999625
8.0,7,2024,588,0.891156462585034,55.952380952380956,14.934269028400355,2.233759118877454
8.0,7,2025,378,0.8888888888888888,58.46560846560847,17.35437941488972,0.4176406264361332
8.0,8,2021,363,1.0853994490358128,53.71900826446281,19.942324433835374,2.2288591602150243
8.0,8,2022,443,1.0428893905191874,52.144469525959366,16.90098079059098,2.2129080706488446
8.0,8,2023,372,0.9919354838709677,53.494623655913976,16.408803069688272,1.5393985832432788
8.0,8,2024,588,0.9149659863945578,56.12244897959183,16.06942404589201,1.1464215906625719
8.0,8,2025,378,0.9417989417989417,55.026455026455025,16.033879995247734,4.050452904849533
8.0,9,2021,363,0.5674931129476584,68.04407713498622,11.3495845747005,1.0710974548543417
8.0,9,2022,442,0.6628959276018099,65.61085972850678,14.075186166936138,1.3316625506367918
8.0,9,2023,372,0.739247311827957,62.096774193548384,14.34945732276684,1.0164988674968845
8.0,9,2024,588,0.6972789115646258,63.775510204081634,13.981670561461733,-0.8806802187752649
8.0,9,2025,378,0.671957671957672,67.46031746031747,16.389537443310566,1.8380617300405744
8.5,1,2021,526,1.070342205323194,50.950570342205324,16.661454526228127,3.1115211898478154
8.5,1,2022,506,1.1027667984189724,50.0,16.80486305713104,1.620022340711813
8.5,1,2023,628,1.1114649681528663,49.84076433121019,16.93311221535413,3.269320158967659
8.5,1,2024,733,1.024556616643929,52.796725784447474,16.901167278464875,3.9069367114970444
8.5,1,2025,478,0.9288702928870293,52.30125523012552,12.801285992951101,1.7159703330646425
8.5,2,2021,526,0.8992395437262357,57.414448669201526,16.726553091479374,2.4787436738582524
8.5,2,2022,506,0.9841897233201581,52.17391304347826,14.799719177763487,0.8681964575400936
8.5,2,2023,628,0.9378980891719745,54.77707006369427,15.632093689407645,2.1888050392337655
8.5,2,2024,733,0.8485675306957708,58.52660300136425,15.72384005643186,1.2964936154358009
8.5,2,2025,478,0.8200836820083682,57.11297071129707,13.073490727031183,1.6564718310569826
8.5,3,2021,526,1.0608365019011408,54.562737642585546,19.9461255859889,2.5983150024758928
8.5,3,2022,506,1.1383399209486167,49.01185770750988,16.97681894678656,2.5240295930507637
8.5,3,2023,628,1.0764331210191083,50.0,15.919101536848812,2.427463728223916
8.5,3,2024,733,1.0641200545702592,51.15961800818554,16.656485011310195,0.8255563191002402
8.5,3,2025,478,1.0648535564853556,53.13807531380753,18.660241151556118,2.510911175929309
8.5,4,2021,526,1.0456273764258555,51.52091254752852,16.37378800551768,1.0336447607687593
8.5,4,2022,506,0.924901185770751,53.55731225296443,13.900251857212243,2.2453114242241834
8.5,4,2023,628,0.9299363057324841,54.45859872611465,15.000714527960628,2.4160960938157006
8.5,4,2024,733,1.0600272851296044,50.068212824010914,15.42357708727755,2.3673514791131334
8.5,4,2025,478,1.00418410041841,52.928870292887034,16.294529059081707,1.1201845702052182
8.5,5,2021,526,1.1711026615969582,46.00760456273764,15.005114545654418,0.6267884264810453
8.5,5,2022,506,1.098814229249012,51.38339920948617,18.056796549228686,2.6702398753771286
8.5,5,2023,628,1.0382165605095541,52.07006369426752,16.661502750274433,1.368946313428232
8.5,5,2024,733,0.956343792633015,55.7980900409277,17.36855162940459,2.2498312817352817
8.5,5,2025,478,0.9414225941422594,53.97489539748954,14.967642840288232,2.673030713818425
8.5,6,2021,526,1.0475285171102662,52.09125475285171,17.010886362723003,3.014040610469104
