n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,clean_i1_i8,target_cell,seasons,season_p0_sd_pp,season_nb_residual_mean_pp,season_nb_residual_sd_pp
2146,0.48415657036346693,0.9911241600896773,72.87977632805219,15.191053122087606,11.929170549860205,1.7852233676975946,43.986254295532646,61.62167130840993,11.258105019642262,71.80200377016835,1.0777725578838382,8.0,4,bottom,True,False,5,1.247243209424228,1.159901706255655,0.3467162945789117
2871,0.520027864855451,1.0838321943452307,71.71717171717171,14.907697666318356,13.375130616509928,1.8386699507389161,47.29064039408867,59.450398197186814,12.266773519984897,70.31087261321666,1.4062991039550554,8.5,4,bottom,True,False,5,1.1941062419151882,1.6013938613707102,0.9561514367213256
1839,0.5508428493746601,1.0625659377494392,69.60304513322458,15.823817292006526,14.573137574768896,1.81216457960644,47.9427549194991,57.646373346718406,11.95667178650618,67.7350951622757,1.867949970948879,9.0,4,bottom,True,False,5,2.946635970774445,2.0723024441747118,1.4088094657187091
875,0.5691428571428572,1.1219300424975482,69.37142857142857,15.542857142857141,15.085714285714285,1.8582089552238805,49.25373134328358,56.60103825932579,12.770390312102787,67.1869461484301,2.1844824229984794,9.5,4,bottom,True,False,5,2.582530006209367,2.435536218457115,0.36233585424725806
655,0.44580152671755724,0.8437705721689197,73.58778625954199,15.572519083969466,10.839694656488549,1.6878612716763006,41.040462427745666,64.03108440460346,9.556701854938531,72.71592463307502,0.8718616264669743,7.0,5,top,True,False,5,3.8131570423709307,0.38982346233403353,1.5910433860124775
1612,0.446029776674938,0.978463433004792,75.80645161290323,12.655086848635236,11.538461538461538,1.8435897435897435,47.69230769230769,64.01647098013726,11.789980632765962,74.56218568542855,1.2442659274746748,7.5,5,top,True,False,5,3.489245268129856,1.4672241770944838,0.600306858963615
2146,0.4864864864864865,1.0117054117054116,72.8331780055918,15.330848089468779,11.835973904939422,1.7907375643224699,43.56775300171527,61.478265109981464,11.354912895610337,71.89743994081128,0.9357380647805225,8.0,5,top,True,False,5,1.8837988040135965,1.0735169311942117,0.7851000711390954
2871,0.5217694183211424,1.1471740109250623,72.5531173807036,13.688610240334379,13.758272378962033,1.901015228426396,50.1269035532995,59.34695225463569,13.206165126067903,70.9674555756585,1.585661805045091,8.5,5,top,True,False,5,0.9864175281164845,1.6353847150341383,0.7768787961882423
1839,0.4703643284393692,0.8792899107181423,72.5394235997825,15.443175638934203,12.017400761283307,1.7128712871287128,43.76237623762376,62.477460365656235,10.061963234126258,71.28568515841248,1.2537384413700114,9.0,5,top,True,False,5,2.2144816113491554,1.2545157783950733,0.4111341337694426
875,0.5691428571428572,1.1814266100032687,69.71428571428572,14.857142857142858,15.428571428571427,1.879245283018868,50.943396226415096,56.60103825932579,13.11324745495993,67.95097448420523,1.7633112300804776,9.5,5,top,True,False,5,4.1801924302990034,1.955205717761841,0.6926648485958197
655,0.46106870229007635,0.9094147582697201,75.41984732824427,11.297709923664122,13.282442748091603,1.875776397515528,54.037267080745345,63.06093516031819,12.358912167926084,72.46474647204236,2.9551008562019088,7.0,5,bottom,True,False,5,3.2903024914246375,3.1387515749091284,0.9799442628363964
1612,0.5099255583126551,1.1575674680738657,73.44913151364764,13.337468982630273,13.213399503722083,1.9205607476635513,49.76635514018692,60.05402823802798,13.395103275619668,71.95358051588381,1.4955509977638393,7.5,5,bottom,True,False,5,3.2497704373025957,1.430260757390649,1.2260835390186071
2146,0.5065237651444549,1.087370008059663,72.41379310344827,15.144454799627214,12.44175209692451,1.8361486486486487,45.10135135135135,60.258667493878484,12.155125609569794,71.35922630599693,1.0545667974513506,8.0,5,bottom,True,False,5,3.8846284392770833,1.0442386205908405,1.2364957824474685
2870,0.5146341463414634,1.062002567394095,71.67247386759583,15.505226480836237,12.822299651567945,1.8167281672816729,45.26445264452644,59.77192323890318,11.900550628692642,70.43124870303909,1.2412251645567363,8.5,5,bottom,True,False,5,3.244198548827539,1.1940472979184036,0.9896970988021816
