n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,season
478,0.3891213389121339,0.6658772137575327,76.35983263598327,13.598326359832635,10.0418410041841,1.6460176991150441,42.47787610619469,67.76520394639154,8.59462868959172,74.53404106477699,1.82579157120627,7.5,2,bottom,2022
275,0.3927272727272727,0.8014067684140677,78.9090909090909,10.181818181818182,10.909090909090908,1.8620689655172413,51.724137931034484,67.52128714421322,11.387803764877692,76.40056104289363,2.5085298661972844,7.5,2,bottom,2023
366,0.5491803278688525,1.212643161913317,70.76502732240438,15.573770491803279,13.661202185792352,1.8785046728971964,46.728971962616825,57.74229139295352,13.022735929450857,69.7613999397247,1.0036273826796727,7.5,2,bottom,2024
224,0.48214285714285715,0.9862267777065984,73.21428571428571,15.178571428571427,11.607142857142858,1.8,43.333333333333336,61.7458847057057,11.46840100858001,71.89057821697098,1.32370749731473,7.5,2,bottom,2025
363,0.45454545454545453,0.883977900552486,73.27823691460054,16.2534435261708,10.46831955922865,1.7010309278350515,39.175257731958766,63.47364189402819,9.80459502057236,72.61388453401614,0.6643523805844098,8.0,2,bottom,2021
443,0.44243792325056436,1.0210003779250894,77.20090293453724,11.512415349887133,11.286681715575622,1.9405940594059405,49.504950495049506,64.24682220691032,12.954080727626916,75.35699082230981,1.8439121122274305,8.0,2,bottom,2022
372,0.4543010752688172,1.041032663826334,75.0,15.053763440860216,9.946236559139784,1.8172043010752688,39.784946236559136,63.4891554322362,11.510844567763801,74.70050058864133,0.2994994113586613,8.0,2,bottom,2023
589,0.4702886247877759,0.9808334199554186,74.36332767402376,13.412563667232597,12.224108658743633,1.8344370860927153,47.682119205298015,62.48219031658322,11.881137357440553,72.72891505425349,1.6344126197702868,8.0,2,bottom,2024
379,0.43007915567282323,0.8700981418659519,75.98944591029023,12.928759894459102,11.081794195250659,1.7912087912087913,46.15384615384615,65.04576052761138,10.943685382678847,74.36358448523698,1.6258614250532544,8.0,2,bottom,2025
526,0.5171102661596958,1.2825638240086912,75.2851711026616,11.216730038022813,13.498098859315588,2.0923076923076924,54.61538461538461,59.62410387994503,15.661067222716563,72.80934017375421,2.4758309289073854,8.5,2,bottom,2021
506,0.5573122529644269,1.1382929597307558,69.96047430830039,15.217391304347828,14.82213438735178,1.855263157894737,49.34210526315789,57.27463943691706,12.685834871383328,68.26347671483958,1.696997593460814,8.5,2,bottom,2022
628,0.49522292993630573,1.0350648625036827,73.24840764331209,14.171974522292993,12.579617834394904,1.8511904761904763,47.023809523809526,60.94350308387997,12.304904559432128,71.54031474009929,1.70809290321281,8.5,2,bottom,2023
